,name,rating,review,salaries,interviews,jobs,ctype_and_location
0,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
1,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
2,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
3,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
4,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
5,Wipro,3.6,(64.6k),64.6k,4.8L,6.8k,IT Services & Consulting | Hyderabad +371 other locations
6,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
7,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
8,Wipro,3.6,(64.6k),64.6k,4.8L,6.8k,IT Services & Consulting | Hyderabad +371 other locations
9,Cognizant,3.7,(60.9k),60.9k,6L,6.4k,IT Services & Consulting | Hyderabad +234 other locations
10,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
11,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
12,Wipro,3.6,(64.6k),64.6k,4.8L,6.8k,IT Services & Consulting | Hyderabad +371 other locations
13,Cognizant,3.7,(60.9k),60.9k,6L,6.4k,IT Services & Consulting | Hyderabad +234 other locations
14,Capgemini,3.7,(52.6k),52.6k,4.8L,5.5k,IT Services & Consulting | Bengaluru +182 other locations
15,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
16,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
17,Wipro,3.6,(64.6k),64.6k,4.8L,6.8k,IT Services & Consulting | Hyderabad +371 other locations
18,Cognizant,3.7,(60.9k),60.9k,6L,6.4k,IT Services & Consulting | Hyderabad +234 other locations
19,Capgemini,3.7,(52.6k),52.6k,4.8L,5.5k,IT Services & Consulting | Bengaluru +182 other locations
20,HDFC Bank,3.8,(51.7k),51.7k,1.5L,3k,Banking | Mumbai +1840 other locations
21,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
22,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
23,Wipro,3.6,(64.6k),64.6k,4.8L,6.8k,IT Services & Consulting | Hyderabad +371 other locations
24,Cognizant,3.7,(60.9k),60.9k,6L,6.4k,IT Services & Consulting | Hyderabad +234 other locations
25,Capgemini,3.7,(52.6k),52.6k,4.8L,5.5k,IT Services & Consulting | Bengaluru +182 other locations
26,HDFC Bank,3.8,(51.7k),51.7k,1.5L,3k,Banking | Mumbai +1840 other locations
27,Infosys,3.5,(48.3k),48.3k,5.2L,8.4k,IT Services & Consulting | Bengaluru +248 other locations
28,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
29,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
30,Wipro,3.6,(64.6k),64.6k,4.8L,6.8k,IT Services & Consulting | Hyderabad +371 other locations
31,Cognizant,3.7,(60.9k),60.9k,6L,6.4k,IT Services & Consulting | Hyderabad +234 other locations
32,Capgemini,3.7,(52.6k),52.6k,4.8L,5.5k,IT Services & Consulting | Bengaluru +182 other locations
33,HDFC Bank,3.8,(51.7k),51.7k,1.5L,3k,Banking | Mumbai +1840 other locations
34,Infosys,3.5,(48.3k),48.3k,5.2L,8.4k,IT Services & Consulting | Bengaluru +248 other locations
35,ICICI Bank,4.0,(45.5k),45.5k,1.5L,2.9k,Banking | Mumbai +1441 other locations
36,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
37,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
38,Wipro,3.6,(64.6k),64.6k,4.8L,6.8k,IT Services & Consulting | Hyderabad +371 other locations
39,Cognizant,3.7,(60.9k),60.9k,6L,6.4k,IT Services & Consulting | Hyderabad +234 other locations
40,Capgemini,3.7,(52.6k),52.6k,4.8L,5.5k,IT Services & Consulting | Bengaluru +182 other locations
41,HDFC Bank,3.8,(51.7k),51.7k,1.5L,3k,Banking | Mumbai +1840 other locations
42,Infosys,3.5,(48.3k),48.3k,5.2L,8.4k,IT Services & Consulting | Bengaluru +248 other locations
43,ICICI Bank,4.0,(45.5k),45.5k,1.5L,2.9k,Banking | Mumbai +1441 other locations
44,HCLTech,3.4,(45.5k),45.5k,3.9L,4.5k,IT Services & Consulting | Chennai +233 other locations
45,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
46,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
47,Wipro,3.6,(64.6k),64.6k,4.8L,6.8k,IT Services & Consulting | Hyderabad +371 other locations
48,Cognizant,3.7,(60.9k),60.9k,6L,6.4k,IT Services & Consulting | Hyderabad +234 other locations
49,Capgemini,3.7,(52.6k),52.6k,4.8L,5.5k,IT Services & Consulting | Bengaluru +182 other locations
50,HDFC Bank,3.8,(51.7k),51.7k,1.5L,3k,Banking | Mumbai +1840 other locations
51,Infosys,3.5,(48.3k),48.3k,5.2L,8.4k,IT Services & Consulting | Bengaluru +248 other locations
52,ICICI Bank,4.0,(45.5k),45.5k,1.5L,2.9k,Banking | Mumbai +1441 other locations
53,HCLTech,3.4,(45.5k),45.5k,3.9L,4.5k,IT Services & Consulting | Chennai +233 other locations
54,Tech Mahindra,3.4,(43k),43k,2.8L,4.5k,IT Services & Consulting | Hyderabad +330 other locations
55,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
56,Accenture,3.7,(72.7k),72.7k,6.6L,9.3k,IT Services & Consulting | Bengaluru +257 other locations
57,Wipro,3.6,(64.6k),64.6k,4.8L,6.8k,IT Services & Consulting | Hyderabad +371 other locations
58,Cognizant,3.7,(60.9k),60.9k,6L,6.4k,IT Services & Consulting | Hyderabad +234 other locations
59,Capgemini,3.7,(52.6k),52.6k,4.8L,5.5k,IT Services & Consulting | Bengaluru +182 other locations
60,HDFC Bank,3.8,(51.7k),51.7k,1.5L,3k,Banking | Mumbai +1840 other locations
61,Infosys,3.5,(48.3k),48.3k,5.2L,8.4k,IT Services & Consulting | Bengaluru +248 other locations
62,ICICI Bank,4.0,(45.5k),45.5k,1.5L,2.9k,Banking | Mumbai +1441 other locations
63,HCLTech,3.4,(45.5k),45.5k,3.9L,4.5k,IT Services & Consulting | Chennai +233 other locations
64,Tech Mahindra,3.4,(43k),43k,2.8L,4.5k,IT Services & Consulting | Hyderabad +330 other locations
65,Genpact,3.6,(41.7k),41.7k,2.3L,3.9k,Analytics & KPO | Hyderabad +182 other locations
66,TCS,3.3,(1.1L),1.1L,10L,11.8k,IT Services & Consulting | Bengaluru +440 other locations
